Organization Name,Address1,City,State,Zip Code,Borough,Neighborhood,Phone1,Fax,Website,Job Placement Services,Financial Aid Services,Contact FirstName,Contact LastName,course name,CourseDescription,Keywords,Cost Total,Cost Includes,Cost Does Not Include,Duration,Duration Unit,NumHours,Prerequisites,Max Class Size,Years Course Offered,Instructor Credentials,Delivery Method,Schedule,Is HRA,Is SBS
ACCESS INSTITUTE,8002 KEW GARDENS RD LBBY 2,KEW GARDENS,New York,11415,Queens,Southwest Queens,7182630750,,http://accessqueens.com,,Some types of Financial Aid are provided.,Reema,Gunasingh,EKG and Phlebotomy Technician,(INCLUDES EKG and PHLEBOTOMY) This course is to train students in understanding the techniques operation of accurate EKG recording. Phlebotomy teaches the student the baisc principles of blood drawing practicing blood drawing on an artificial arm. Both classes will help existing CNA&#39;s upgrade to become Patient Care Technicians (PCT) or Nurse Tech&#39;s. Upon completion of training student will receive certificate of completion. . .Language (English) course cost includes (Tuition  Books  Supplies  Materials) .,Install  Maintenance  Repair  Mechanic  Equipment  Electrical  electronic  electric  Industrial  Security Fire Alarm  Service technicians  Auto  Glass  Service  Engine  building  boiler  Heat  Air condition  Refrigerator  Appliance  plumber  weather,2500.00,Classroom Hours 24.0   Lab Hours 24.0   Internship Hours 24.0   Practical Hours 24.0,,96,Hour(s),96,<p>HIGH School Diploma or GED</p> .,,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
International Development Institute (Manhattan),161 William St 14th Fl,New York,New York,10038,Manhattan,Lower Manhattan,2125941917,212,,,Some types of Financial Aid are provided.,Leomar,Cruz,CUSTOMER SERVICE REPRESENTATIVE,This course provides you with the knowledge and skills you will need for work as a Customer Service Representative. You will learn how to interact with customers  how to provide information in response to inquiries about products and services  and how to resolve customer's complaints. As a customer service representative you may assist individuals interested in opening accounts for various utilities such as electricity and gas  or for communication services such as cable television and telephone. .Upon completion of training student will receive certificate of completion. .,Receptionist  Office Clerk  Executive Secretary  Administrative Assistant  microsoft  office  account  bookkeep  audit  quickbooks  bookkeeper  bookkeeping  excel  word,2500.00,Classroom Hours 125.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,125,Hour(s),125,<p>High School Diploma GED or Entrance Test</p> .,25,,Licensed by the NYS Education Department,Classroom Training,Check with school to receive most updated schedule,Yes,No
Truckar Driving School,648 PROSPECT AVE,BRONX,New York,10455,Bronx,Hunts Point - Mott Haven,7187420220,7187420999,http://truckardrivingschool.com,,Some types of Financial Aid are provided.,Jose,Henriquez,Light Truck Class CP Program,Students work on the skills needed to obtain their Class CP license. After successful completion students will be able to operate an Ambulette or Light Truck Delivery Vehicle. Program consists of classroom instruction only. NO ROAD TEST NECESSARY. 10 classroom hours of study time for NYS DMV Written Test. INCLUDED are Licensing Fees. Upon completion of training student will receive a certificate of completion. .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,500.00,Classroom Hours 10.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,10,Hour(s),10,<p>Prerequisite: GED or High School Diploma; New York State Drivers License</p> .,,,NYS DMV Certified,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2000.
International Development Institute (Manhattan),161 William St 14th Fl,New York,New York,10038,Manhattan,Lower Manhattan,2125941917,212,,,Some types of Financial Aid are provided.,Leomar,Cruz,PERSONAL CARE AIDE - SPANISH,Upon completion of this course the student will generally work in the homes of individuals who are elderly  disabled or under rehabilitation. They will provide services in the form of household management and personal client care. Instruction and course books for this course are provided in the Spanish language. .,home aide  hha  pca  trainer  care  attendant  health  beauty  hair  nail  makeup,799.00,Classroom Hours 24.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 16.0,,40,Hour(s),40,<p>High School Diploma GED or Entrance Test</p> .,20,,Licensed by the NYS Education Department,Classroom Training,Check with school to receive most updated schedule,Yes,No
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,PHARMACY TECHNICIAN CERTIFICATION,PHARMACY TECHNICIAN CERTIFICATIONPrepare for a rewarding career as a Certified Pharmacy Technician (CPhT). Certified Pharmacy Technicians play in integral role in drug stores  supermarkets  hospitals  and mail-order facilities by helping licensed pharmacists prepare and dispense prescription medications and other health-related products. The textbook and registration fee is not included in the tuition. . . . .,,1460.00,Classroom Hours 45.0   Lab Hours 0.0   Internship Hours 120.0   Practical Hours 0.0,,165,Hour(s),165,HS diploma or GED  basic understanding of computers.,,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
International Development Institute (Brooklyn),613 BRIGHTON BEACH AVE FL 2,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7186150303,2126150325,,,Some types of Financial Aid are provided.,Leomar,Cruz,PERSONAL CARE AIDE - RUSSIAN,The Personal Care Aide (PCA) is an auxiliary health care worker who provides under Register Nurse supervision  personal care and household assistance in order to maintain a patien&#39;s health status. Personal and home care aides(also called homemakers  caregivers  companions  and personal attendants(provide housekeeping and routine personal care services. Aides may plan meals (including special diets)  shop for food  and cook. Aides also may help clients move from bed  bathe  dress  and groom. Some accompany clients outside the home  serving as a guide and companion. Instruction and course books for the course are provided in the Russian language. .Upon completion of training student will receive certificate of completion. . . .,home aide  hha  pca  trainer  care  attendant  health  beauty  hair  nail  makeup,799.00,Classroom Hours 40.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,40,Hour(s),40,<p>High School Diploma GED or Entrance Test</p> .,20,,Licensed by the New York State Education Department,Classroom Training,Check with school to receive most updated schedule,Yes,No
COMPU21 INSTITUTE,3907 PRINCE ST STE 2C,FLUSHING,New York,11354,Queens,Flushing - Clearview,7187621900,,http://www.compu21.com,,Some types of Financial Aid are provided.,Ann,Chen,Java Programmer package,This course covers topics of Basic Java  Working with Collections  Formatting Data  JDBC  Java Networking Programming  and Web Development  etc. After this class  you will have a solid foundation and extensive knowledge of multi-tier Java web development skills. You are going to learn how to build the business application using the knowledge you learned  includes Eclipse  Collections  JSP/Servlet/JSTL/Struts  RMI  JDBC  JavaBean concept  and most importantly design pattern concept. Also  you are going to learn what are business analysis  design  implementation  unit test. Combining both database and programming skills to achieve a real project. Upon completion of training students will be able to get Completion Certificates and we will help her/him to find position in the field she / he is pursuing.</p,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,2500.00,Classroom Hours 100.0   Lab Hours 20.0   Internship Hours 0.0   Practical Hours 0.0,,120,Hour(s),120,Bachelor Degree or Associate Degree or 3+ college credits in computer programming or 3 months work experience with MS Windows and Programming fundamental,14,,Wall Street Sr. Consultant  System Architecture  Professional Certified,Classroom Training,Check with school to receive most updated schedule,Yes,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Advanced Graphic Design,This course aims to provide students with a broad range of skills and knowledge in the graphic art and design fields. Topics covered include creative and technical skills and knowledge  business requirements  promotion  drawing skills and research and analysis. Some possible job outcomes include graphic designer  finished artist  and website designer This course will cover Advanced PhotoshopCS5  Advanced Flash CS5  Advanced Illustrator CS5  Advanced In designCS5. Upon graduation  the students will receive the certificate of Advanced Graphic Design from the school after they have passed the final. . .This is a 8 week program  please contact provider for current schedule. .,Design  designers  Pro  graphic designer  adobe  autocad  CS5  indesign  website  web  art  animation  flash  artist  media  fashion,1300.00,Classroom Hours 96.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,96,Hour(s),96,<p>High School Diploma or Equivalent (GED).</p> .,10,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Ms Office Specialist (TAA Only),This course will introduce to the new interface and features of Word  Excel and PowerPoint  Access  Outlook in Microsoft Office 2007. Word will Learn to create  save  edit and print documents  how to handle blocks of text  formatting features  and spell checking. Using search and replace  headers and footers  page numbers  styles  outlining  templates and wizards. columns  tables  macros  and graphics. mail merge  and clip art. Excel provides an overview of spreadsheet functions. Concepts covered include building  editing and printing a spreadsheet. applications such as accounting  manufacturing  and administration  which emphasize financial  logical  and statistical functions for data analysis  management  and business graphics. Access Topics include creating and altering a database  searching techniques  and creating reports. PowerPoint teaches you how to create  modify  format  build and run PowerPoint slide shows  as well as use WordArt  ClipArt  and graphic  create charts  tables objects. Microsoft Outlook emphasizing efficient use of e-mail  calendar  tasks and notes.Course components detail posted as following: Basic Computer Concepts6 Hours Cost $138.00 Keyboarding  24Hours cost $552.00  Microsoft Word24 Hours cost $552.00  Microsoft Excel24 Hours cost $552.00 Microsoft PowerPoint6 Hours cost $138.00  Microsoft Access12 Hours cost $276.00  Microsoft Outlook24 Hours cost $552.00. Upon completion of training student will receive certificate of completion. . .This is a 16 week program  contact provider for current schedule .,,2200.00,Classroom Hours 96.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,96,Hour(s),96,<p>N/A</p> .,10,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
A.L.M. Security Training Academy School,540 ATLANTIC AVE,BROOKLYN,New York,11217,Brooklyn,Downtown - Heights - Slope,7188550500,,http://www.thealmgroup.com,,Some types of Financial Aid are provided.,Allen,Moody,8 HOUR PRE-ASSIGNMENT  16 HOUR OJT & FIREGUARD PREP COURSE,8 HOUR PRE-ASSIGNMENT TRAINING COURSE .This is the first step in obtaining the security license from NYS Department of State. The course provides a general overview of the duties and responsibilities of a security guard. The passing of an examination is required for successful completion of this course. . .16 HOUR ON-THE-JOB TRAINING COURSE .This is a 16 hour course that must be completed within 90 days of employment as a security guard. The course provides the student with detailed information on the duties and responsibilities of a security guard. The passing of an examination is required for successful completion of this course. . .FIRE GUARD PREP COURSE .This class helps prepare you to take the NYC Fire Department Certificate of Fitness examination for fire guards. The passing of an FDNY examination is required to become licensed as a Fire Guard. . .Theses Courses are very interactive  lecture based and provide scenarios that compare with real life situations. . .Course price includes $137.75 security guard application and fees (including background checks and fingerprinting fees) and $25 fire guard exam fee (FDNY). Please note: Fire guard certification is NOT required to become a security guard in NYS. Many employers desire licensed guards that have fire guard certification. This course provides security guard licensing and the test preparation and fees for the FDNY Fire Guard (F-01) .examination. .,guard  security  fire  assignment  safety  officer  correction  enforce,500.00,Classroom Hours 27.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,27,Hour(s),27,<p>(A+ Rated School - Voted #1 in NYC) 18 Years or Older - Valid identification - Presentable Attire - Arrive On Time for Class - Pen/Paper to take Notes. Review: The class was extremely informative and taught by a true professional with extreme class and,,,,Classroom Training,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2000.
SAM Consulting Services  Inc. (Brooklyn),1723 E 12th St Ste 502,Brooklyn,New York,11229,Brooklyn,Coney Island - Sheepshead Bay,7186483997,,http://www.samconsulting.com,,Some types of Financial Aid are provided.,Matthew,Kirshenbaum,Quality Assurance Analyst Core Course (Online),This program introduces students to Manual Testing for successful employment as an entry-level QA Analyst / Software Tester / Manual Tester. Students will receive hands-on training in the following modules: Foundations of Software Quality Assurance (Manual Testing)  Agile Methodology and Scrum  JIRA basics  SQL Databases  and introductory UNIX. After completing the course  students will be able to perform manual testing using QA methodologies  as well as use JIRA issue tracking system  extract data from SQL databases  and utilize UNIX commands. This is online web-based synchronous (remote virtual real-time) instructor-led training. Upon completion  students will receive certificates of completion. .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,2500.00,Classroom Hours 90.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,90,Hour(s),90,<p>Computer user skills  Admission interview</p> .,,,,Web-Based,Check with school to receive most updated schedule,Yes,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
Soulful Synergy LLC,9910 207TH ST,QUEENS VLG,New York,11429,Queens,Southeast Queens,9145633647,,http://soulfulsynergy.org,,Some types of Financial Aid are provided.,Alejandro,Alvarez,8 Hour Fall Prevention (SST),This 2 Hour Drug and Alcohol Awareness course covers the requirement for the Site Safety Training (SST) card.,,295.00,Classroom Hours 8.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,8,Hour(s),8,None,,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
International Development Institute (Brooklyn),613 BRIGHTON BEACH AVE FL 2,BROOKLYN,New York,11235,Brooklyn,Coney Island - Sheepshead Bay,7186150303,2126150325,,,Some types of Financial Aid are provided.,Leomar,Cruz,OFFICE ASSISTANT,As technology continues to expand in offices across the Nation and the world the role of the office professional has greatly evolved. The Office Assistant is responsible for a variety of clerical duties necessary to run an organization efficiently. They serve as an information manager for an office  schedule meetings and appointments  organize and maintain paper and electronic files  manage projects  conduct research and provide information via the telephone  postal mail and e-mail.Upon completion of training student will receive a certificate of completion.,Receptionist  Office Clerk  Executive Secretary  Administrative Assistant  microsoft  office  account  bookkeep  audit  quickbooks  bookkeeper  bookkeeping  excel  word,15000.00,Classroom Hours 600.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,600,Hour(s),600,High School Diploma  GED  or Entrance Test,,,Licensed by The New York State Education Department,Classroom Training,Check with school to receive most updated schedule,No,No
Ferrari Driving School  Inc.,3232 STEINWAY ST,ASTORIA,New York,11103,Queens,Long Island City - Astoria,7182786679,,http://www.FerrariDrivingSchool.com,,Some types of Financial Aid are provided.,Michelangelo,Pinto,ELDT - CDL BPS - Commercial Bus/Truck Driver Career Training Program,ELDT - Basic Entry Level Driver Training for Commercial Bus/Truck Driver Training. ( 160Hours Course)  . .As of February 7  2022  it is mandatory to do the ELDT in order to obtain the commercial license  this is stated by the FMCSA.DOT.GOV . .********CDL BUS Training Available in Automatic and Stick-Shift VEHICLES ********* . .ELDT - CDL BPS license is highly recommended for clients with no commercial driving experience  but who want to start a career as drivers and want to drive commercial vehicles such as school buses  heavy trucks  shuttle buses  ambulatte  coach bus  MTA buses with air brakes. It is an excellent CDL BPS license. (Training Available in Automatic or Stick-Shift Bus ) . .106 Hours of Classroom Instructions /ELDT Test Preparation Course Online Training  6 Hours Point and Insurance Reduction Program (Defensive Driving Course)  12 Hours of CDL Vehicles Group Training Inspection  32Hours Behind-the-Wheel Training  Included CDL BPS Road Test Service  One Time/ 1st CDL RT$40.00- NYS DMV Skill Appointment Fee and Free Forklift Training Certification. . .If needed a 2ND FREE CDL BUS ROAD TEST SERVICE . .Job Placement Assistance upon completion. Also &ldquo;Upon completion of training student will receive certificate of completion&rdquo;. . .This Course Does Not include the 2nd payment for $40.00 to NYS DMV for CDL Road Test Scheduling  CDL BPS License  CDL Permit and   DOT Medical Exam Fees . .This Course Does Not include the NYS DMV for CDL Road Test Skill Fee $40.00 for 2nd RT  CDL BPS License  CDL Permit and   DOT Medical Exam Fees . .Important: For the student who has the ELDT previously ( This course is not transferable or exchangeable for any other type of CDT  in the event that the student has de ELDT THEORY certification.  . .Training available in English and Spanish  and at these locations. Queens  Brooklyn  and the Bronx  once approved  you choose the training location. But first you have to register at the main office .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,5000.00,Classroom Hours 116.0   Lab Hours 12.0   Internship Hours 0.0   Practical Hours 32.0,,160,Hour(s),160,<p>Automobile Drivers License</p> .,,,All Instructors are certified by the NYS DMV,Classroom Training,Check with school to receive most updated schedule,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $2000.
College of Staten Island CUNY,2800 VICTORY BLVD BLDG 2A,STATEN ISLAND,New York,10314,Staten Island,Willowbrook,7189822182,,http://www.csi.cuny.edu/continue,,Some types of Financial Aid are provided.,Continuing,Education,CCA Certified Medical Administrative assistant with Medical Billing and Coding (Vouchers included),The CCA Certified Medical Administrative Assistant with Medical Billing and Coding is geared towards students who are interested in obtaining a career in the healthcare industry  but have little to no experience within the sector. .This comprehensive program will provide a foundation of medical vocabulary  to help you better understand doctors' notes and medical record contents. It will also teach you essential medical office management skills that healthcare managers look for  when hiring front office staff. .Upon completion of this program  you will be prepared to sit for the Certified Coding Associate (CCA) exam  offered by the American Health Information Management Association (AHIMA) and the Certified Medical Administrative Assistant (CMAA) exam offered by National Healthcareer Association (NHA). The registration fees for both exams are included with this program.This program will also prepare you to sit for the Certified Billing and Coding Specialist (CBCS) exam and the Certified Coding Associate (CCA) exam.,,3225.00,Classroom Hours 500.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,500,Hour(s),500,There are no prerequisites to take this course. However  in order to sit for national certification exams  candidates must have a high school diploma or equivalent; therefore  it is recommended you have this before enrolling for this course.,,,,Web-Based,Check with school to receive most updated schedule,No,No
International Development Institute (Manhattan),161 William St 14th Fl,New York,New York,10038,Manhattan,Lower Manhattan,2125941917,212,,,Some types of Financial Aid are provided.,Leomar,Cruz,High School Equivalency Preparation Program (HSE),This course will prepare the student to pass the TASC Examination. Students will learn reading  grammar  social studies  history  geography  mathematics and Basic English grammar. At the end of the course students will be able to: Define techniques for working with multiple choice and essay formats scoring considerations  learn test-taking strategies and acquire reading and reasoning skills for the TASC. .,,2500.00,Classroom Hours 201.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,201,Hour(s),201,<p>Entrance Test</p> .,25,,Licensed by the NYS Education Department,Classroom Training,Check with school to receive most updated schedule,Yes,No
ETI,11616 QUEENS BLVD STE 200,FOREST HILLS,New York,11375,Queens,Ridgewood - Forest Hills,7182611272,,https://emergingtech.edu,,Some types of Financial Aid are provided.,Lyonel,Coriolan,Amazon Web Services (AWS) Exam Prep - Online,Amazon Web Services (AWS) is a cloud computing platform. It provides a comprehensive platform from which to provide web applications with high-availability. It facilitates managing application-related resources automatically from convenient interfaces. .This program prepares the students for 6 AWS certification exams. .The cost of the certification exams is included in the tuition.,,4100.00,Classroom Hours 90.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,90,Hour(s),90,HS diploma/GED  basic computer skills and familiarity with the internet,12,,Licensed by NYSED/BPSS,Web-Based,Check with school to receive most updated schedule,No,No
Apex Clean Energy Institute,24 Willoughby St,Brooklyn,New York,11201,Brooklyn,Downtown - Heights - Slope,7187648495,,https://apexschool.com/,,Some types of Financial Aid are provided.,Eric,Waters,Solar PV installer,APEX Clean Energy Institute (ACEI) Solar PV Installer is a 450-hour (approximately 13 weeks) solar installation training program.The training program consists of both soft- and hard-skills. Participants that successfully complete the solar installation training program earn three work credentials: . . . OSHA 30 (Occupational Safety and Health Administration) . Construction (credential from the National Center for Construction Education Research [NCCER}) . Solar Photovoltaic (credential from the North American Board of Certified Energy Practitioners [NABCEP]) . . .Upon successful completion of the solar installation training program  participants are placed in employment in the &ldquo;green economy.&rdquo; .,,5900.00,Classroom Hours 350.0   Lab Hours 100.0   Internship Hours 0.0   Practical Hours 0.0,,450,Hour(s),450,,,,,Classroom Training,Check with school to receive most updated schedule,No,No
OpenClassrooms,251 Little Falls Dr,Wilmington,Delaware,19808,,,9293760101,,https://openclassrooms.com,,Some types of Financial Aid are provided.,Pierre,Dubuc,Data analyst,Due to unprecedented growth  it is estimated thatmore than 200 000 jobs in the data sector will be created by 2020in the U.S. alone. . .Here at OpenClassrooms  we focus on high-demand roles  reverse-engineering our curriculum based on the skills needed to perform on the job. . .We&#39;ve builtthis one-year  bachelor's-level diploma program in data analysisto enable our students to develop their careers in the growing data sector. This program is taught entirely online with one-on-one  weekly sessions with a dedicated mentor. . .What will I do as a Data Analyst? . .A Data Analyst&#39;s job is toanalyze dataandtransform it into highly valuable metrics for a company.They are responsible for bothdata collectionanddata processingas well as guaranteeing data integrity. . .A Data Analyst reports the results to various departments in the company. Therefore  a Data Analyst will need to developcommunication and reporting skillsto support decision-making processes. . .A data analyst&#39;s responsibilities are diverse. They include: . . . Gathering data: standardizing it while maintaining its integrity. . Interpreting data: identifying trends and helping others make sense of it. . Presenting data: creating dashboards  visualizations  and written reports. . Analyzing data: supporting decision-making to improve the company's strategy. . . .How much will I earn? . .Here is what you can expect to earn in your career as a Data Analyst: . .US Income Estimates: . . . Beginner: $60 000 to $70 000 per year . Senior: $70 000 to $100 000 per year . . .UK Income Estimates: . . . Beginner: &pound;22 000 to &pound;30 000 per year . Senior: &pound;30 000 to &pound;48 000 per year . . .(source: glassdoor.com) . .Roles in data analysis are in high demand for full-time employment. Freelance Data Analysts have charged up to $500 or &pound;400 per day of work. . .What are my job prospects? . .Companies around the world are looking for Data Analysts both in start-ups and in large enterprises. . .This program will prepare you for the following careers: . . . Data Analyst (6 000+ jobs on Indeed.com) . Marketing Analyst (10 000+ jobs on Indeed.com) . Business Intelligence Analyst (5 000+ jobs on Indeed.com) . . .With these roles  there is a high level of career mobility. After a few years of practice  you could become aData Scientist! You'll be able to create custom algorithms and dig further into mathematical models. .,,15000.00,Classroom Hours 0.0   Lab Hours 400.0   Internship Hours 0.0   Practical Hours 0.0,,400,Hour(s),400,<p>To be eligible to earn this path&#39;s diploma  candidates must demonstrate proof of one of the following prerequisites:</p> . .<ul> . <li>an associate&#39;s degree  or equivalent  in economics  finance  sales  marketing  software development or STEM.<,,,,Web-Based,Check with school to receive most updated schedule,No,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Computer Operations Technician,In this course student will learn how to Install  operate and maintain network services  routers  concentrators  hubs  switches  modems and other network devices  resolve network communications problems and repair Windows computers with standardized applications and networking software  diagnosing and solving problems that develop in their operations. . .Upon completion of training student will receive certificate of completion. . .also this course cost included the Certification Exam Fee of $927. . . .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,4025.00,Classroom Hours 96.0   Lab Hours 96.0   Internship Hours 0.0   Practical Hours 0.0,,192,Hour(s),192,<p>N/A</p> .,,,,Classroom Training,Check with school to receive most updated schedule,No,Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800.
International Development Institute (Manhattan),161 William St 14th Fl,New York,New York,10038,Manhattan,Lower Manhattan,2125941917,212,,,Some types of Financial Aid are provided.,Leomar,Cruz,8 Hour Annual In Service Training Course for Security Guards,This is an 8 hour course that must be completed within 12 calendar months from completion of the 16 Hour On-the-Job Training Course for Security Guards  and annually thereafter. The course is structured to provide the student with updated and enhanced information on the duties and responsibilities of a security guard. . .Topics covered in this course include: . .&bull;The role of the security guard .&bull;Legal powers and limitations .&bull;Emergency situations .&bull;Communications and public relations .&bull;Access control  and ethics and conduct . .Course Requirements: . .&bull;8 and 16 Hours Security Guard Certificate of Completion .,,500.00,Classroom Hours 8.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,8,Hour(s),8,<p>High School Diploma  GED  or Entrance Test.</p> .,30,,Licensed by the NYS Education Dept. and NYSED,Classroom Training,Check with school to receive most updated schedule,Yes,No
International Development Institute (Manhattan),161 William St 14th Fl,New York,New York,10038,Manhattan,Lower Manhattan,2125941917,212,,,Some types of Financial Aid are provided.,Leomar,Cruz,ENGLISH AS A SECOND LANGUAGE (TAA Only),This program is for students who wish to learn English in the shortest possible time. You will get great opportunity to increase your speaking and writing skills. Emphasis will be placed on the appropriate vocabulary and idiomatic expressions which will increase your oral ability and writing skills. Grammar and pronunciation exercises will be included in the course work. As a part of the course students study grammar  reading comprehension  and vocabulary building. The classes are available for beginners  intermediate and advanced students. . .Our English Program is a complete six level course. Each level is carefully graded and consists of: . .1. English Beginning Level I -125 hours Total Cost $1 250.00 .2. English Beginning Level II -125 hours Total Cost $1 250.00 .3. English Intermediate Level I -125 hours Total Cost $1 250.00 .4. ESL Intermediate Level II -125 hours Total Cost $1 250.00 .5. ESL Advanced I      -125 hours Total Cost $1 250.00 .6. ESL Advanced (Transitional) -125 hours Total Cost $1 250.00 .English as a Second Language Full Course 750 Hours .Total Cost for the complete six level full course $7 500.00 .,,7500.00,Classroom Hours 750.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,750,Hour(s),750,<p>High School Diploma GED or Entrance Test</p> .,25,,Licensed by the NYS Education Department,Classroom Training,Check with school to receive most updated schedule,No,No
New Technologies Information Institute,401 BROADWAY STE 903,NEW YORK,New York,10013,Manhattan,Greenwich Village - Soho,2129255722,,http://www.ntii-newyork.com,,Some types of Financial Aid are provided.,Lynn,Zhang,Advanced Web  Graphic Design Application  Package,The Advanced Web and Graphic Design Application Package is a combined course  teaching students Advanced Web Design and Advanced Graphic Design. . .Advanced Web Design focuses on advanced techniques in web design with particular emphasis on design elements involving layout  navigation and interactivity using HTML  XHTML  JavaScript  Dynamic HTML  and Cascading Style Sheets (CSS). Dreamweaver  Flash ActionScript  include client and server side Establish  configure  and maintain web site  Develop and publish Web pages  Configure a Web Server Capture  retrieve  and display information via a database Using PHP with My SQL  Produce dynamic Web pages using server-side and client-side scripts  Upon graduation  the students will receive the certificate of Advanced Web Design  from the school after they have passed the final. . .The Advanced Graphic Design sector aims to provide students with a broad range of skills and knowledge in the graphic art and design fields. Topics covered include creative and technical skills and knowledge  business requirements  promotion  drawing skills and research and analysis. Some possible job outcomes include graphic designer  finished artist  and website designer This course will cover Advanced PhotoshopCS5  Advanced Flash CS5  Advanced Illustrator CS5  Advanced In designCS5. Upon completion of training student will receive certificate ofcompletion . .This is a 16 week program  contact provider for current schedule .,Design  designers  Pro  graphic designer  adobe  autocad  CS5  indesign  website  web  art  animation  flash  artist  media  fashion,4000.00,Classroom Hours 192.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,192,Hour(s),192,<p>Basic Graphic  web design application Level.</p> .,10,,teacher license,Classroom Training,Check with school to receive most updated schedule,No,No
The HOPE Program,1 Smith St 4th Fl,Brooklyn,New York,11201,Brooklyn,Downtown - Heights - Slope,6463963860,,https://www.thehopeprogram.org/,,Some types of Financial Aid are provided.,Ana,Chapman,HOPEworks,HOPEworks is a seven-week program that helps participants succeed in the job market and navigate careers in various fields through cover letter and resume writing  computer skills  interview prep  financial empowerment  civic engagement  and workplace essential skills such as public speaking and conflict resolution. . . . . .,,0.00,Classroom Hours 245.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0,,245,Hour(s),245,,20,,,Classroom Training,Check with school to receive most updated schedule,Yes,No
